ID,k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium.,k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus.,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Ruminococcus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus,k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__Mogibacterium,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Succinivibrionaceae.g__Succinivibrio,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium
SZP2016002,-0.896048255,0.045855694,-0.717131601,-0.141009854,2.871033622,0.285648485,0.685720798,-0.327926874,-0.158445006,1.02101551,-0.413748974
SZP2016003,-0.411808516,1.93876082,1.764009653,0.979401838,-0.447334587,-0.873882865,-0.665686869,-0.405979483,-0.273854698,-0.218960314,-0.408506896
SZP2016007,0.824762389,0.093498888,0.298003854,-0.741451568,-0.289292253,0.128441056,-0.626361703,-0.22306346,-0.291286736,-0.484870896,-0.278343551
SZP2016008,-0.342374175,-0.265714393,-0.728203193,1.622625276,-0.198041355,-0.695611121,-0.559920892,-0.536891435,-0.423138812,-1.535401162,1.197636994
SZP2016009,-0.920503407,1.31914922,-0.992202117,2.736067818,-0.288733634,6.07112227,1.957997356,-0.242446303,-0.3693145,-0.810438939,-0.267100802
SZP2016010,-0.559293728,-1.589368978,-0.54866879,3.984674151,-0.14541956,-0.558517978,-0.511444236,0.124802205,-0.448690649,-1.596418879,1.573689551
SZP2016011,-0.373567925,-0.940121614,1.102579605,-0.763972913,-0.346807802,-0.649625108,0.715822874,-0.656162552,-0.218513056,0.130282486,-0.65973071
SZP2016012,1.816039624,-0.224829007,-0.767882367,0.404816247,-0.495488705,-0.840592764,-0.684649686,-0.265905949,-0.148374214,-1.747682285,6.822357584
SZP2017001,0.414392449,-0.184135249,4.038011503,-0.800199258,-0.250090402,0.558327107,-0.595901295,-0.303401855,-0.261337101,-0.230838565,-0.37067641
SZP2017013,0.457250474,0.081250522,-0.851406422,3.853867817,-0.301971861,0.145337312,-0.633369989,-0.18984629,-0.249565453,-0.61057994,-0.262380781
SZP2018001,-0.785411097,0.13083447,-0.735735419,-0.593881086,3.243152815,-0.752130337,1.058402113,-0.281062092,-0.262213778,-0.704367558,-0.348565872
